row_id,performa_type,performa_date,series,sale_type,order_code,account_detail,customer_code,customer_name,status,amount,description
93.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29544.0,404J/10/017,09/090,نیان الکترونیک,جاری,158847634.0,60 الی 75 روز
94.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29545.0,404J/10/018,09/090,نیان الکترونیک,جاری,26915568.2,60 الی 75 روز
95.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29546.0,404J/10/019,09/090,نیان الکترونیک,جاری,18382755.6,60 الی 75 روز
96.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29547.0,404j/10/020,09/090,نیان الکترونیک,جاری,14825223.6,60 الی 75 روز
97.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29548.0,404J/10/021,09/090,نیان الکترونیک,جاری,15279440.0,60 الی 75 روز
98.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29549.0, 1404J/10/022,09/090,نیان الکترونیک,جاری,1227181670.0,60 الی 75 روز
99.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29550.0,404J/10/023,09/090,نیان الکترونیک,جاری,1213440390.0,60 الی 75 روز
100.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29551.0,404J/10/024,09/090,نیان الکترونیک,جاری,141093700.0,60 الی 75 روز
101.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29552.0,404J/10/025,09/090,نیان الکترونیک,جاری,168038040.1,
102.0,پیش‌فاکتور,1404/10/17,1.0,pcb,29553.0,404J/10/026,09/090,نیان الکترونیک,جاری,15274758.4,60 الی 75 روز
103.0,پیش‌فاکتور,1404/10/21,1.0,pcb,29530.0,فاراتل - 404/J/10/008,09/038,فاراتل,جاری,19761672.4,30 الی 45 روز
104.0,پیش‌فاکتور,1404/10/21,1.0,pcb,29531.0,404J/10/009,09/038,فاراتل,جاری,14264675.4,30 الی 45  روز
105.0,پیش‌فاکتور,1404/10/21,1.0,pcb,29542.0,نیکو الکترونیک پیشرو  - 29542,09/552,نیکو الکترونیک پیشرو,جاری,4239840.0,
106.0,پیش‌فاکتور,1404/10/24,1.0,pcb,29554.0,404J/1/005,09/094,شیوا امواج,جاری,56610000.0,استاندارد
107.0,پیش‌فاکتور,1404/10/28,1.0,pcb,29555.0,404J/1/006,09/094,شیوا امواج,جاری,8494.8,90 روزه
,,,,,,,,,,0.0,
