row_id,invoice_type,invoice_date,customer_code,customer_name,order_code,account_detail,subtotal,tax,total_amount
197.0,فاکتور فروش,1403/07/10,09/083,سازه پویش,سازه پویش - 29055,403J/01102,280504910.4,28050491.0,308555401.4
198.0,فاکتور فروش,1403/07/10,09/038,فاراتل,فاراتل  - ‏_x001F_29090,403J/01112,122356233.6,12235623.4,136313053.5
199.0,فاکتور فروش,1403/07/11,09/083,سازه پویش,سازه پویش - 29059,403J/01102,389273901.6,38927390.2,428201291.8
200.0,فاکتور فروش,1403/07/15,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29112,403J/01103,888556104.0,88855610.4,977411714.4
201.0,فاکتور فروش,1403/07/16,09/552,نیکو الکترونیک پیشرو,نیکو الکترونیک پیشرو - 29225,403N/03/013,2500000.0,250000.0,2750000.0
202.0,فاکتور فروش,1403/07/17,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29123,403J/01103,194164000.0,19416400.0,213580400.0
203.0,فاکتور فروش,1403/07/18,09/083,سازه پویش,سازه پویش - 29240,403J/01114,3198263.9,319826.4,3518090.3
204.0,فاکتور فروش,1403/07/21,09/243,تابا الکترونیک,تابا الکترونیک  - 29165,403J/01117,486980705.0,48698070.5,535678775.5
205.0,فاکتور فروش,1403/07/22,09/243,تابا الکترونیک,تابا الکترونیک  - ‏_x001F_29166,403J/01117,464661600.0,46466160.0,511127760.0
206.0,فاکتور فروش,1403/07/23,09/243,تابا الکترونیک,تابا الکترونیک  - 29163,403J/01117,63985761.0,6398576.1,71024194.7
207.0,فاکتور فروش,1403/07/24,09/552,نیکو الکترونیک پیشرو,نیکو الکترونیک پیشرو - 29264,403N/03/033,37021600.0,3702160.0,40723760.0
208.0,فاکتور فروش,1403/07/24,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29151,403J/01088,113411500.0,11341150.0,124752650.0
209.0,فاکتور فروش,1403/07/24,09/038,فاراتل,فاراتل  - ‏_x001F_29090,403J/01112,49763416.4,4976341.6,55237392.2
210.0,فاکتور فروش,1403/07/24,09/552,نیکو الکترونیک پیشرو,پار صنعت صعود  - 29252,403N/03/031,117850594.0,11785059.4,129635653.4
211.0,فاکتور فروش,1403/07/25,09/113,کاوندیش سیستم,کاوندیش سیستم - ‏_x001F_29202,403J/01123,5653239.5,565323.9,6218563.4
212.0,فاکتور فروش,1403/07/28,09/552,نیکو الکترونیک پیشرو,پار صنعت صعود  - 29252,403N/03/031,11362277.0,1136227.7,12498504.7
213.0,فاکتور فروش,1403/07/29,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29117,403J/01103,674833840.0,67483384.0,742317224.0
214.0,فاکتور فروش,1403/07/29,09/552,نیکو الکترونیک پیشرو,کرمان خودرو - 29199,403N/03/013,2501800000.0,250180000.0,2751980000.0
215.0,فاکتور فروش,1403/07/30,09/552,نیکو الکترونیک پیشرو,نیکو الکترونیک پیشرو - 29236,403N/03/031,353908629.0,35390862.9,389299491.9
216.0,فاکتور فروش,1403/07/30,09/113,کاوندیش سیستم,کاوندیش سیستم - ‏_x001F_29201,403J/01123,41885586.0,4188558.6,46074144.6
217.0,فاکتور فروش,1403/07/30,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29114,402J/01048,689090000.0,68909000.0,757999000.0
218.0,فاکتور فروش,1403/07/30,09/552,نیکو الکترونیک پیشرو,,پروژه عمومی,46960400.0,4696040.0,51656440.0
219.0,فاکتور فروش,1403/08/02,09/243,تابا الکترونیک,تابا الکترونیک  - ‏_x001F_29168,403J/01117,289480000.0,28948000.0,321322800.0
220.0,فاکتور فروش,1403/08/05,09/592,شرکت آرمان الکتریک,آرمان الکترونیک - 29237,403J/01126,6888325.5,688832.6,7577158.1
221.0,فاکتور فروش,1403/08/06,09/113,کاوندیش سیستم,کاوندیش سیستم - ‏_x001F_29204,403J/01123,20938718.0,2093871.8,23032589.8
222.0,فاکتور فروش,1403/08/06,09/083,سازه پویش,سازه پویش - 29239,403J/01114,106182161.5,10618216.2,117050377.7
223.0,فاکتور فروش,1403/08/06,09/089,مهندسی مهاران,مهندسی مهاران - 29187,403J/01121,18389689.0,1838968.9,20228657.9
224.0,فاکتور فروش,1403/08/06,09/083,سازه پویش,سازه پویش - 826,403J/01139,9000000.0,900000.0,10150000.0
225.0,فاکتور فروش,1403/08/08,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29025,402J/01048,659149533.8,65914953.3,725064487.1
226.0,فاکتور فروش,1403/08/08,09/094,شیوا امواج,شیوا امواج - 29110,402J/01048,194696426.8,19469642.7,214166069.5
227.0,فاکتور فروش,1403/08/08,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29127,403J/01103,621939000.0,62193900.0,684132900.0
228.0,فاکتور فروش,1403/08/08,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29025,402J/01048,230635743.0,23063574.3,253699317.3
229.0,فاکتور فروش,1403/08/12,09/113,کاوندیش سیستم,کاوندیش سیستم - 29200,403J/01123,36987524.0,3698752.4,40686276.4
230.0,فاکتور فروش,1403/08/14,09/243,تابا الکترونیک,تابا الکترونیک  - 29253,403J/01130,4923637.6,492363.8,5666001.4
231.0,فاکتور فروش,1403/08/15,09/038,فاراتل,فاراتل  - ‏_x001F_29276,403J/01142,14127840.0,1412784.0,15790624.0
232.0,فاکتور فروش,1403/08/16,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29024,403J/01088,1035986232.3,103598623.2,1139584855.5
233.0,فاکتور فروش,1403/08/16,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29023,403J/01088,723343198.0,72334319.8,795677517.8
234.0,فاکتور فروش,1403/08/16,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29161,403J/01103,1237959027.6,123795902.7,1361754930.3
235.0,فاکتور فروش,1403/08/21,09/038,فاراتل,فاراتل  - ‏_x001F_29271,403J/01142,6662458.0,666245.8,7578703.8
236.0,فاکتور فروش,1403/08/23,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29028,403J/01088,1138355685.8,113835568.5,1252191254.3
237.0,فاکتور فروش,1403/08/26,09/593,شرکت به بران تجارت نیکان,به بران تجارت نیکان - 29247,403J/01128,48128700.0,4812870.0,53422857.0
238.0,فاکتور فروش,1403/08/27,09/083,سازه پویش,سازه پویش - 827,403J/01146,3000000.0,300000.0,3550000.0
239.0,فاکتور فروش,1403/08/27,09/113,کاوندیش سیستم,کاوندیش سیستم - ‏_x001F_29204,403J/01123,132165244.0,13216524.4,145381768.4
240.0,فاکتور فروش,1403/08/27,09/489,الکترونیک کاران,الکترونیک کاران - 29222,403J/01125,173117000.0,17311700.0,192159870.0
241.0,فاکتور فروش,1403/08/28,09/552,نیکو الکترونیک پیشرو,نیکو الکترونیک پیشرو - 29225,403N/03/025,129688000.0,12968800.0,142656800.0
242.0,فاکتور فروش,1403/08/28,09/038,فاراتل,فاراتل  - ‏_x001F_29272,403J/01142,92873875.0,9287387.5,103333270.3
243.0,فاکتور فروش,1403/08/29,09/552,نیکو الکترونیک پیشرو,نیکو الکترونیک پیشرو - 29228,403N/03/025,448920000.0,44892000.0,493812000.0
244.0,فاکتور فروش,1403/08/30,09/038,فاراتل,فاراتل  - ‏_x001F_29283,403J/01142,6097938.0,609793.8,6957731.8
245.0,فاکتور فروش,1403/08/30,09/489,الکترونیک کاران,الکترونیک کاران - 29268,403J/01143,27439000.0,2743900.0,30457290.0
246.0,فاکتور فروش,1403/09/03,09/552,نیکو الکترونیک پیشرو,کرمان خودرو - 29199,403N/03/013,1272100000.0,127210000.0,1399310000.0
247.0,فاکتور فروش,1403/09/03,09/552,نیکو الکترونیک پیشرو,نیکو الکترونیک پیشرو - 29230,403N/03/025,299280000.0,29928000.0,329208000.0
248.0,فاکتور فروش,1403/09/04,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29116,402J/01048,189850400.0,18985040.0,208835440.0
249.0,فاکتور فروش,1403/09/04,09/094,شیوا امواج,شیوا امواج - 29146,403J/01088,36017440.0,3601744.0,39619184.0
250.0,فاکتور فروش,1403/09/04,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29028,403J/01088,648906889.1,64890688.9,713797578.0
251.0,فاکتور فروش,1403/09/04,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29121,403J/01103,356891428.8,35689142.9,392580571.7
252.0,فاکتور فروش,1403/09/04,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29120,403J/01103,74769409.0,7476940.9,82246349.9
253.0,فاکتور فروش,1403/09/04,09/552,نیکو الکترونیک پیشرو,,پروژه عمومی,65956000.0,6595600.0,72551600.0
254.0,فاکتور فروش,1403/09/06,09/038,فاراتل,فاراتل  - ‏_x001F_29284,403J/01142,9007580.0,900758.0,10158338.0
255.0,فاکتور فروش,1403/09/06,09/113,کاوندیش سیستم,کاوندیش سیستم - ‏_x001F_29203,403J/01123,9072264.0,907226.4,9979490.4
256.0,فاکتور فروش,1403/09/07,09/370,شرکت نیما الکترونیک آریا,رایا صنعت - 29293,403J/01144,17576464.5,1757646.5,19834111.0
257.0,فاکتور فروش,1403/09/07,09/370,شرکت نیما الکترونیک آریا,رایا صنعت - 29300,403J/01144,10683310.0,1068331.0,12251641.0
258.0,فاکتور فروش,1403/09/07,09/370,شرکت نیما الکترونیک آریا,رایا صنعت - 29301,403J/01144,8696380.0,869638.0,9816018.0
259.0,فاکتور فروش,1403/09/10,09/370,شرکت نیما الکترونیک آریا,رایا صنعت - 29291,403J/01144,64141843.0,6414184.3,70806027.3
260.0,فاکتور فروش,1403/09/10,09/370,شرکت نیما الکترونیک آریا,رایا صنعت - 29297,403J/01144,19534900.0,1953490.0,21738390.0
261.0,فاکتور فروش,1403/09/10,09/038,فاراتل,فاراتل  - ‏_x001F_29275,403J/01142,12191888.0,1219188.8,13661076.8
262.0,فاکتور فروش,1403/09/12,09/593,شرکت به بران تجارت نیکان,به بران تجارت نیکان - 29247,403J/01128,85057400.0,8505740.0,93563140.0
263.0,فاکتور فروش,1403/09/12,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29113,402J/01048,768274150.0,76827415.0,845101565.0
264.0,فاکتور فروش,1403/09/12,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29130,402J/01048,309966745.0,30996674.5,340963419.5
265.0,فاکتور فروش,1403/09/12,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29122,403J/01103,287248980.2,28724898.1,315973878.3
266.0,فاکتور فروش,1403/09/12,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29132,402J/01048,355507254.0,35550725.4,391057979.4
267.0,فاکتور فروش,1403/09/12,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29126,403J/01103,443641932.8,44364193.3,488006126.1
268.0,فاکتور فروش,1403/09/13,09/593,شرکت به بران تجارت نیکان,به بران تجارت نیکان - 29247,403J/01128,127586100.0,12758610.0,140344710.0
269.0,فاکتور فروش,1403/09/14,09/593,شرکت به بران تجارت نیکان,به بران تجارت نیکان - 29247,403J/01128,85227514.8,8522751.5,93750266.3
270.0,فاکتور فروش,1403/09/19,09/038,فاراتل,فاراتل  - ‏_x001F_29282,403J/01142,113565640.0,11356564.0,126057860.4
271.0,فاکتور فروش,1403/09/19,09/113,کاوندیش سیستم,کاوندیش سیستم - ‏_x001F_29242,403J/01127,80201910.7,8020191.1,88222101.8
272.0,فاکتور فروش,1403/09/20,09/101,افزار آزما,افزار آزما - 29322,403J/01152,10730076.0,1073007.6,12053083.6
273.0,فاکتور فروش,1403/09/21,09/038,فاراتل,فاراتل  - 29305,403J/01148,8079668.0,807966.8,9137634.8
